#Table J_ApJ_700_1097_table3:
#Name: J/ApJ/700/1097/table3
#Title: MLCS31 light curve fit parameters
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    Delta              (F6.3)  Light curve shape parameter {Delta} [ucd=stat.fit.param]
#    e_Delta            (F6.3)  Uncertainty in Delta [ucd=stat.error;pos.eq.dec]
#    AV (mag)           (F6.3)  Host-galaxy extinction parameter in V band [ucd=phys.absorption;em.opt.V]
#    e_AV (mag)         (F6.3)  Uncertainty in AV [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------------------ --------- --------- ------ ------ ------ ------
#                                  n                                                                                               
#                                  _                                                                                               
#_RAJ200     _DEJ200               I               mu     e_mu                                                 e      AV     e_AV  
RA          DEC         ID        I zCMB   e_zCMB mu     e_mu   SimbadName         RA_deg    DEC_deg   Delta  e_Delt AV     e_AV 
03:32:18.15 -27:44:10.5 Rakke     4  0.740  0.010 43.368  0.224 [RSC2007]HST04Rak  053.07562 -27.73626 -0.001  0.135  0.184  0.152
12:37:06.53 +62:15:11.7 Spock     4  0.839  0.010 43.429  0.397 [RSC2007]HST05Spo  189.27721 +62.25325  0.058  0.222  0.158  0.180
12:36:20.63 +62:10:50.6 Strolger  4  1.010  0.010 44.598  0.216 [RSC2007]HST05Str  189.08596 +62.18072 -0.206  0.166  0.125  0.127
12:36:55.21 +62:13:03.7 Thames    3  0.954  0.010 44.113  0.390 [RSC2007]HST04Tha  189.23006 +62.21771  0.115  0.228  0.203  0.208
03:32:45.65 -27:44:24.3 Zwicky    4  0.521  0.010 42.498  0.230 [RSC2007]HST05Zwi  053.19021 -27.74008 -0.185  0.135  0.201  0.179
12:37:25.13 +62:13:17.0 anguta    3  0.670  0.010 43.089  0.318 SN2003bd           189.35469 +62.22138  0.212  0.185  0.299  0.239
03:32:37.51 -27:46:46.4 aphrodite 3  1.300  0.010 44.848  0.201 SN2002fw           053.15630 -27.77956 -0.065  0.186  0.326  0.199
03:32:34.72 -27:39:58.3 bilbo     3  0.216  0.010 40.333  0.302 SN2002kc           053.14467 -27.66619 -0.193  0.139  1.246  0.299
12:37:09.19 +62:11:28.2 borg      3  1.340  0.010 44.875  0.312 SN2003dy           189.28829 +62.19116 -0.224  0.174  0.467  0.263
12:37:48.43 +62:13:34.8 elvis     3  0.840  0.010 43.626  0.225 SN2003eq           189.45181 +62.22635  0.110  0.157  0.194  0.155
03:32:22.32 -27:44:27.0 frodo     3  0.735  0.010 43.088  0.282 SN2002kd           053.09299 -27.74084  0.258  0.182  0.213  0.229
03:32:46.90 -27:54:49.3 gilgamesh 3  1.551  0.010 45.093  0.296 SN2003ak           053.19542 -27.91369 -0.191  0.184  0.768  0.282
03:32:44.33 -27:55:06.4 inanna    3  1.307  0.010 45.146  0.359 SN2003aj           053.18471 -27.91844  0.239  0.267  0.310  0.276
03:32:22.52 -27:41:52.3 isis      3  0.526  0.010 43.481  0.325 SN2002hr           053.09384 -27.69785 -0.321  0.106  0.323  0.245
12:37:15.21 +62:13:33.5 mcenroe   3  0.900  0.010 43.412  0.365 SN2003eb           189.31337 +62.22599 -0.184  0.107  0.310  0.263
12:37:28.42 +62:20:39.6 nanna     3  1.140  0.010 44.569  0.461 SN2002ki           189.36842 +62.34432  0.309  0.340  0.112  0.123
12:36:26.01 +62:06:55.1 qiqirn    3  0.640  0.010 42.799  0.394 SN2003be           189.10839 +62.11531  0.121  0.230  0.294  0.258
12:36:55.44 +62:13:11.5 ramone    3  0.954  0.010 44.187  0.295 SN2003es           189.23100 +62.21985  0.142  0.187  0.136  0.115
12:36:54.12 +62:08:22.2 sasquatch 3  1.390  0.010 44.933  0.280 [RSC2007]HST04Sas  189.22552 +62.13950  0.006  0.311  0.482  0.281
12:37:19.72 +62:18:37.2 torngasak 3  1.265  0.010 44.831  0.321 SN2003az           189.33218 +62.31034 -0.060  0.232  0.357  0.234
12:37:29.00 +62:11:27.8 vilas     3  0.935  0.010 43.790  0.381 SN2003XX           189.37083 +62.19106 -0.108  0.130  0.271  0.256
02:30:40.00 -08:11:40.5 b010      4  0.590  0.003 42.966  0.212 ESSENCEb010        037.66667 -08.19458 -0.170  0.180  0.119  0.091
02:31:20.73 -08:36:13.1 b013      4  0.427  0.003 41.949  0.221 ESSENCEb013        037.83637 -08.60364  0.016  0.139  0.204  0.151
02:04:41.03 -05:09:40.7 b020      3  0.426  0.003 41.742  0.374 ESSENCEb020        031.17096 -05.16131  0.055  0.325  0.228  0.201
23:25:24.03 -09:26:00.6 d033      4  0.530  0.008 42.932  0.156 ESSENCEd033        351.35012 -09.43350 -0.326  0.108  0.107  0.089
02:29:21.21 -09:02:15.6 d083      3  0.333  0.001 40.691  0.129 ESSENCEd083        037.33837 -09.03767 -0.284  0.060  0.103  0.080
02:28:50.93 -09:09:58.1 d084      4  0.516  0.006 42.941  0.286 ESSENCEd084        037.21221 -09.16614 -0.200  0.205  0.226  0.190
23:27:58.22 -08:57:11.8 d085      4  0.401  0.008 41.924  0.215 ESSENCEd085        351.99258 -08.95328 -0.241  0.111  0.216  0.156
23:27:01.71 -09:24:04.5 d086      3  0.204  0.003 40.030  0.312 ESSENCEd086        351.75712 -09.40125 -0.177  0.064  0.663  0.320
01:11:06.23 +00:13:44.2 d087      4  0.337  0.004 41.299  0.192 ESSENCEd087        017.77596 +00.22894 -0.125  0.093  0.152  0.122
02:28:28.56 -08:08:44.7 d089      4  0.424  0.003 42.023  0.184 ESSENCEd089        037.11900 -08.14575 -0.212  0.117  0.162  0.133
02:29:52.15 -08:32:28.1 d093      1  0.361  0.003 41.708  0.133 ESSENCEd093        037.46729 -08.54114 -0.330  0.067  0.087  0.074
02:31:54.60 -08:35:48.4 d097      1  0.434  0.007 42.076  0.161 ESSENCEd097        037.97750 -08.59678 -0.329  0.067  0.138  0.111
02:07:54.84 -03:28:28.4 d099      3  0.210  0.002 40.401  0.193 ESSENCEd099        031.97850 -03.47456 -0.120  0.085  0.141  0.121
02:31:06.84 -08:45:36.5 d117      4  0.301  0.005 41.362  0.257 ESSENCEd117        037.77850 -08.76014  0.311  0.197  0.252  0.184
