# SNID hostmass hostsfr hostssfr u-g
17605 10.499 -10.243 -20.774 1.466
2003U 10.049 1.421 -8.580 1.054
ASASSN-15la 10.843 -0.341 -11.120 1.607
14318 9.997 -3.050 -13.050 1.945
16185 9.426 -2.565 -11.969 1.336
570062 8.722 -1.597 -10.321 0.635
SN2017hn 11.215 -0.402 -11.617 2.484
1995ac 10.896 -0.719 -11.607 1.592
PS16dnp 7.473 -2.771 -10.326 0.855
2005hf 10.882 -11.861 -22.665 1.777
722 11.196 -99.000 -110.147 1.862
2005hc 10.601 -0.259 -10.961 1.539
2005hj 9.589 -1.787 -11.328 1.258
PS16bby 10.576 0.646 -10.021 1.227
2005eq 10.379 1.182 -9.115 1.364
12898 9.519 0.256 -9.115 1.136
SN2016glp 10.700 -4.835 -15.580 1.494
2003ic 11.790 -0.455 -12.194 1.694
SN2016glz 7.442 -1.177 -8.273 0.902
PSNJ0252467 7.979 -1.204 -9.115 0.968
2003it 10.390 0.698 -9.849 1.534
2003iv 10.966 -8.679 -19.776 1.834
2001gb 10.011 1.508 -8.412 0.929
ASASSN-15jl 8.940 -1.349 -10.247 1.181
360156 9.914 0.593 -9.248 1.326
PS15bwh 7.508 -1.654 -8.977 1.060
1999ef 10.352 1.143 -9.435 1.164
000137 10.700 -0.832 -11.607 1.826
130514 9.794 0.622 -9.172 1.074
190260 10.444 -0.969 -11.392 1.526
AT2017oz 9.774 -1.137 -10.898 1.126
PSNJ0859349 10.052 1.016 -9.060 1.145
1992ae 10.556 -0.786 -11.410 0.856
PS15bif 9.872 -1.665 -11.607 1.459
ASASSN-16bc 10.520 -0.518 -11.120 1.564
ASASSN-15mi 9.052 0.640 -8.335 0.765
ASASSN-15mf 10.899 -2.690 -13.482 1.730
ASASSN-15mg 10.141 -0.426 -10.637 1.508
151034 10.943 -3.113 -14.005 1.898
