#Table J_ApJ_700_1097_table1:
#Name: J/ApJ/700/1097/table1
#Title: SALT light curve fit parameters and distances. Constitution set
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag (1) [ucd=stat.error;phot.mag;em.opt.B]
#    s                  (F6.3)  SALT light curve stretch parameter [ucd=stat.fit.param]
#    e_s                (F6.3)  Uncertainty in s [ucd=stat.error]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (2) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- ---------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag                             mu     e_mu                                         
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag s      e_s    c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg
08:24:05.21 +04:11:22.6 1997ac    1  0.320  0.005 21.890  0.318  1.050  0.020  0.030  0.030 41.339  0.328 SN1997ac           126.02171 +04.18961
10:57:19.23 -03:54:51.7 1997r     1  0.657  0.005 23.920  0.278  0.980  0.110  0.050  0.160 43.230  0.517 SN1997r            164.33012 -03.91436
10:55:55.93 -03:56:48.2 1997p     1  0.472  0.005 23.130  0.244  0.940  0.040  0.110  0.140 42.235  0.440 SN1997p            163.98304 -03.94672
08:24:02.51 +04:07:33.1 1997o     1  0.374  0.005 23.320  0.001  1.060  0.060 -0.180  0.330 43.325  0.858 SN1997o            126.01046 +04.12586
04:59:36.57 -03:09:34.6 1997h     1  0.526  0.005 23.180  0.300  0.930  0.020  0.170  0.090 42.117  0.380 SN1997h            074.90237 -03.15961
04:58:30.23 -03:16:04.0 1997g     1  0.763  0.010 24.370  0.562  0.900  0.120 -0.360  0.240 44.643  0.851 SN1997g            074.62596 -03.26778
04:55:14.27 -05:51:44.8 1997f     1  0.580  0.005 23.410  0.315  1.110  0.050 -0.040  0.080 43.115  0.382 SN1997f            073.80946 -05.86244
13:48:27.22 +02:27:46.6 1996cn    1  0.430  0.005 23.220  0.272  0.950  0.070  0.250  0.090 41.975  0.369 SN1996cn           207.11342 +02.46294
15:30:11.25 +05:55:27.0 1996cm    1  0.450  0.005 23.250  0.271  0.980  0.040  0.110  0.110 42.405  0.396 SN1996cm           232.54687 +05.92417
10:56:59.13 -03:37:36.4 1996cl    1  0.828  0.010 24.550  0.001  1.380  0.560  0.050  0.170 44.356  0.822 SN1996cl           164.24637 -03.62678
12:48:35.19 -00:46:03.0 1996ck    1  0.656  0.005 23.770  0.330  0.850  0.090 -0.130  0.140 43.385  0.503 SN1996ck           192.14662 -00.76750
13:45:56.16 +02:26:53.7 1996ci    1  0.495  0.005 22.820  0.300  0.920  0.090 -0.040  0.080 42.289  0.381 SN1996ci           206.48400 +02.44825
08:24:13.33 +03:24:58.5 1996cg    1  0.490  0.005 23.070  0.319  0.980  0.030  0.230  0.050 41.914  0.346 SN1996cg           126.05554 +03.41625
