Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 1992G  Ia  Ia,Ia-norm  sn1992g-19920421-uoi.flm  19920421.0  None | 72 Kast  3096.0 - 10290.0  25.2416 Alex Filippenko, Thomas Matheson | Luis Ho  2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ia-norm  sn1992g-19920313-final.flm  19920313.0  None | 33 Kast  3280.0 - 10200.0  49.2178 Alex Filippenko, Thomas Matheson, Luis Ho, Schuyler VanDyk | Thomas Matheson  2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ia-99aa,Ia-norm  sn1992g-19920503-final.flm  19920503.0  None | 84 Kast  3500.0 - 10200.0  31.9146 H. Spinrad, et al. | Thomas Matheson  2012MNRAS.425.1789S
SN 1992G  Ia  Ia,Ia-norm  sn1992g-19920610-final.flm  19920610.0  None | 122  Kast  3224.0 - 10214.0  21.7337 Alex Filippenko, Thomas Matheson, Luis Ho | Luis Ho 2012MNRAS.425.1789S
SN 1992M  Ia  Ia,Ia-norm  sn1992m-19920313-ir.flm 19920313.0  None | 17 Kast  5590.0 - 10200.0  4.19836 Alex Filippenko, Thomas Matheson, Luis Ho, Schuyler VanDyk | Thomas Matheson  2012MNRAS.425.1789S
SN 1992M  Ia  NoMatch,NoMatch sn1992m-19920313-uv.flm 19920313.0  None | 17 Kast  3300.0 - 5400.0 2.68359 Alex Filippenko, Thomas Matheson, Luis Ho, Schuyler VanDyk | Thomas Matheson  2012MNRAS.425.1789S
SN 1992ah Ia  Ia,Ia-norm  sn1992ah-19920706-uoi.flm 19920706.0  None | 9  Kast  3232.0 - 10380.0  18.2566 Alex Filippenko, Thomas Matheson | Luis Ho  2012MNRAS.425.1789S
SN 1992ap Ia  Ia,Ia-norm  sn1992ap-19920902-opt.flm 19920902.0  None | 35 Kast  4256.0 - 7040.0 12.4744 Alex Filippenko, Thomas Matheson, Luis Ho | Luis Ho 2012MNRAS.425.1789S
SN 1993C  Ia  Ia,Ia-norm  sn1993c-19930414-ui.flm 19930414.0  None | 77 Kast  3240.0 - 10000.0  2.81873 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993C  Ia  Ia,Ia-norm  sn1993c-19930301-uoi.flm  19930301.0  None | 33 Kast  3100.0 - 10200.0  12.5235 Alex Filippenko, Bruno Leibundgut, Thomas Matheson | Luis Ho  2012MNRAS.425.1789S
SN 1993C  Ia  Ia,Ia-norm  sn1993c-19930129-uoi.flm  19930129.0  None | 2  Kast  3258.0 - 10200.0  16.0869 Alex Filippenko, Thomas Matheson | Luis Ho  2012MNRAS.425.1789S
SN 1993Y  Ia  Ia,Ia-norm  sn1993y-19930925-uoi.flm  19930925.0  None | 7  Kast  3200.0 - 10200.0  41.9411 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-91T,Ia-norm sn1993z-19940107-ui.flm 19940107.0  None | 106  Kast  3300.0 - 10100.0  21.0326 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-91T,Ia-norm sn1993z-19940119-uoi.flm  19940119.0  None | 118  Kast  3250.0 - 9900.0 21.786  Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-norm  sn1993z-19931218-uoi.flm  19931218.0  None | 86 Kast  3120.0 - 10380.0  25.723  Alex Filippenko, Luis Ho | Aaron Barth  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-91T,Ia-norm sn1993z-19940205-uoi.flm  19940205.0  None | 135  Kast  3120.0 - 10510.0  14.878  Alex Filippenko | Aaron Barth 2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-norm  sn1993z-19940317-ui.flm 19940317.0  None | 175  Kast  3120.0 - 10400.0  4.67599 Alex Filippenko, Thomas Matheson, Aaron Barth | Aaron Barth 2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-norm  sn1993z-19940418-ui.flm 19940418.0  None | 207  Kast  3120.0 - 10450.0  4.07798 Alex Filippenko, Luis Ho | Aaron Barth  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-norm,Ia-pec sn1993z-19931022-uoi.flm  19931022.0  None | 29 Kast  3130.0 - 10470.0  50.6268 Alex Filippenko, Thomas Matheson | Aaron Barth  2012MNRAS.425.1789S
SN 1993Z  Ia  Ia,Ia-norm  sn1993z-19931117-uoi.flm  19931117.0  None | 55 Kast  3240.0 - 10100.0  37.2716 Alex Filippenko, Thomas Matheson | Thomas Matheson  2012MNRAS.425.1789S
