#Table J_ApJ_700_1097_table2:
#Name: J/ApJ/700/1097/table2
#Title: SALT2 light curve fit parameters and distances
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag [ucd=stat.error;phot.mag;em.opt.B]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (1) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#    x1                 (F6.3)  SALT2 light curve stretch parameter [ucd=stat.fit.param]
#    e_x1               (F6.3)  Uncertainty in x1 [ucd=stat.error]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- --------- ------ ------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag               mu     e_mu                                                       
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg   x1     e_x1  
03:32:34.72 -27:39:58.3 bilbo     3  0.216  0.010 22.233  0.186  0.485  0.116 40.473  0.385 SN2002kc           053.14467 -27.66619 -0.021  0.716
12:37:09.19 +62:11:28.2 borg      3  1.340  0.010 25.699  0.042  0.111  0.047 45.046  0.212 SN2003dy           189.28829 +62.19116  1.716  0.637
12:37:48.43 +62:13:34.8 elvis     3  0.840  0.010 24.359  0.020  0.085  0.027 43.558  0.179 SN2003eq           189.45181 +62.22635 -0.303  0.463
03:32:22.32 -27:44:27.0 frodo     3  0.735  0.010 23.981  0.071 -0.015  0.071 43.415  0.249 SN2002kd           053.09299 -27.74084 -0.434  0.334
03:32:46.90 -27:54:49.3 gilgamesh 3  1.551  0.010 26.513  0.055  0.252  0.037 45.329  0.211 SN2003ak           053.19542 -27.91369 -0.017  0.848
03:32:44.33 -27:55:06.4 inanna    3  1.307  0.010 26.631  0.123  0.209  0.085 45.249  0.351 SN2003aj           053.18471 -27.91844 -2.938  1.896
03:32:22.52 -27:41:52.3 isis      3  0.526  0.010 24.229  0.100  0.191  0.054 43.441  0.257 SN2002hr           053.09384 -27.69785  2.344  1.088
12:37:15.21 +62:13:33.5 mcenroe   3  0.900  0.010 24.084  0.015  0.137  0.028 43.174  0.175 SN2003eb           189.31337 +62.22599 -0.132  0.227
12:37:28.42 +62:20:39.6 nanna     3  1.140  0.010 25.385  0.041  0.052  0.063 44.722  0.231 SN2002ki           189.36842 +62.34432  0.232  0.431
12:36:26.01 +62:06:55.1 qiqirn    3  0.640  0.010 24.271  0.206  0.212  0.122 43.085  0.410 SN2003be           189.10839 +62.11531 -0.999  0.940
12:36:55.44 +62:13:11.5 ramone    3  0.954  0.010 24.581  0.064 -0.167  0.060 44.312  0.233 SN2003es           189.23100 +62.21985 -1.193  0.556
12:36:54.12 +62:08:22.2 sasquatch 3  1.390  0.010 25.857  0.064  0.190  0.047 44.997  0.225 [RSC2007]HST04Sas  189.22552 +62.13950  1.625  0.868
12:37:19.72 +62:18:37.2 torngasak 3  1.265  0.010 25.715  0.047  0.127  0.047 44.870  0.214 SN2003az           189.33218 +62.31034  0.260  0.705
12:37:29.00 +62:11:27.8 vilas     3  0.935  0.010 24.391  0.037  0.071  0.052 43.635  0.209 SN2003XX           189.37083 +62.19106 -0.217  0.262
02:30:40.00 -08:11:40.5 b010      4  0.590  0.003 23.405  0.079 -0.117  0.095 43.346  0.309 ESSENCEb010        037.66667 -08.19458  1.999  0.909
02:31:20.73 -08:36:13.1 b013      4  0.427  0.003 22.623  0.043  0.024  0.052 41.943  0.213 ESSENCEb013        037.83637 -08.60364 -0.596  0.405
02:04:41.03 -05:09:40.7 b020      3  0.426  0.003 22.461  0.218  0.043  0.199 41.648  0.592 ESSENCEb020        031.17096 -05.16131 -1.417  1.830
23:25:24.03 -09:26:00.6 d033      4  0.530  0.008 23.088  0.081 -0.291  0.099 43.649  0.325 ESSENCEd033        351.35012 -09.43350  3.825  1.148
02:29:21.21 -09:02:15.6 d083      3  0.333  0.001 21.002  0.033 -0.053  0.035 40.705  0.185 ESSENCEd083        037.33837 -09.03767  1.250  0.220
02:28:50.93 -09:09:58.1 d084      4  0.516  0.006 23.647  0.065 -0.024  0.100 43.213  0.314 ESSENCEd084        037.21221 -09.16614  0.615  0.886
23:27:58.22 -08:57:11.8 d085      4  0.401  0.008 22.450  0.048  0.043  0.059 41.854  0.224 ESSENCEd085        351.99258 -08.95328  0.654  0.390
23:27:01.71 -09:24:04.5 d086      3  0.204  0.003 21.098  0.093  0.173  0.082 40.080  0.275 ESSENCEd086        351.75712 -09.40125 -0.303  0.196
01:11:06.23 +00:13:44.2 d087      4  0.337  0.004 21.965  0.058  0.015  0.062 41.295  0.231 ESSENCEd087        017.77596 +00.22894 -0.711  0.337
02:28:28.56 -08:08:44.7 d089      4  0.424  0.003 22.460  0.041 -0.052  0.049 42.044  0.207 ESSENCEd089        037.11900 -08.14575  0.123  0.382
02:29:52.15 -08:32:28.1 d093      1  0.361  0.003 21.897  0.048 -0.102  0.048 41.705  0.205 ESSENCEd093        037.46729 -08.54114  1.087  0.279
02:31:54.60 -08:35:48.4 d097      1  0.434  0.007 22.501  0.049  0.021  0.058 42.073  0.226 ESSENCEd097        037.97750 -08.59678  1.744  0.504
02:07:54.84 -03:28:28.4 d099      3  0.210  0.002 21.126  0.102 -0.047  0.088 40.606  0.289 ESSENCEd099        031.97850 -03.47456 -0.758  0.214
02:31:06.84 -08:45:36.5 d117      4  0.301  0.005 22.367  0.100  0.097  0.092 41.378  0.296 ESSENCEd117        037.77850 -08.76014 -1.845  0.358
