#SN name, redshift, host name, separation, SN ra, SN dec, host ra, host dec
1998eb,0.013122,NGC1961,11.5961952271,85.55008,69.37397,85.51937,69.37844
1998ec,0.0199,UGC03576,8.92800416889,103.27546,50.03947,103.27917,50.03406
1998ef,0.017742,UGC00646,2.40409473032,15.86196,32.23678,15.85996,32.23736
2005dv,0.010404,NGC5283,1.62309764979,205.26854,67.67231,205.27399,67.67231
2003hj,0.076109,MCG+05-36-028,13.6644332173,231.08546,29.95331,231.0851,29.95556
2003hm,0.013916,UGC02295,1.97691461785,42.24329,3.16878,42.24517,3.16867
1998es,0.010567,NGC0632,2.46335955816,24.32333,5.88072,24.32304,5.87764
2003hv,0.005624,NGC1201,6.99048128872,46.03883,-26.08542,46.03325,-26.06964
2003hu,0.075,2MASXJ19113272+7753382,8.81403204338,287.88083,77.89311,287.88662,77.89397
2006cf,0.041552,UGC06015,4.32236359742,163.51075,46.02675,163.51002,46.028
2003hz,0.02017,PGC017866,1.58527534665,87.03275,46.25633,87.03396,46.25572
2003hx,0.007145,NGC2076,1.15263121824,86.69571,-16.7835,86.69775,-16.78261
2005dm,0.016838,IC0219,2.25456411785,34.66354,-6.903,34.66179,-6.90333
2005do,0.030471,UGC02495,61.0086178611,45.50175,41.57617,45.52788,41.59358
2001fh,0.01299,ZOAGG088.22-03.81,1.60933641323,320.17708,44.39811,320.177,44.39975
2001fg,0.0311,SDSSJ211245.45-005232.3,3.37938002837,318.18846,-0.87672,318.18937,-0.87563
2001fe,0.013539,UGC05129,3.45210716284,144.48792,25.49481,144.49166,25.49479
2006lf,0.013206,UGC03108,4.8182099575,69.62287,44.03375,69.61804,44.03711
1998bp,0.010431,NGC6495,2.97145103667,268.71142,18.33069,268.71149,18.32691
2001fu,0.005654,MCG-03-23-011,3.20634415545,133.06908,-17.74161,133.07639,-17.74454
1999bt,0.0499,[H99]J171138.63+722505.5,11.5486534041,257.90738,72.42097,257.91096,72.41819
1999bv,0.018663,MCG+10-25-014,10.1402355871,260.66971,60.00358,260.67133,60.0107
1996o,0.037249,MCG+03-41-115,17.3626671677,241.49437,18.19656,241.50072,18.19595
2006dv,0.032972,UGC12461,5.42695025068,348.97108,5.13061,348.97169,5.12855
1999by,0.002128,NGC2841,5.97927622529,140.46696,51.00183,140.51098,50.97652
2002gx,0.08,NEATJ023144.16+401646.5,16.2958763128,37.93621,40.27764,37.934,40.27958
2002gg,0.11,NEATJ222745.65+065548.9,14.6040344754,336.94137,6.92908,336.94021,6.93025
2002gf,0.086235,2MASXiJ2055184-000424,17.6275493162,313.8245,-0.07261,313.82692,-0.07347
1996x,0.006945,NGC5061,8.89303398562,199.50471,-26.84592,199.52113,-26.83722
1996z,0.007575,NGC2935,11.1345263752,144.18675,-21.14769,144.18687,-21.12814
1996v,0.02377,NGC3644,12.4584042327,170.38012,2.81122,170.38697,2.81044
1999bh,0.017205,NGC3435,3.78384963997,163.69571,61.28889,163.7014,61.28987
2006py,0.0579,SDSSJ224142.04-000812.9,0.0638961178435,340.42521,-0.13692,340.4252,-0.13693
2002bz,0.037152,MCG+05-34-033,3.28523187391,216.16883,26.62631,216.16886,26.62516
2000ey,0.020407,IC1481,0.699289925297,349.855,5.90586,349.85468,5.90618
2000ej,0.030361,IC1371,3.20604173074,320.06525,-4.87792,320.06521,-4.87654
2001eg,0.012705,UGC03885,4.64478793895,112.77463,59.47744,112.77938,59.48164
